Sort,Sort Index,Vocabulary-Japan,Vocab-Furigana,Vocab-English,Audio File,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Reading,Tag,Entry Type
1,JLPT_Tango_N1_0001,身内,,relative,[sound:JLPT_Tango_N1_0001.mp3],身内に医者がいると、何かと安心だ。,,It’s reassuring to have a doctor as a relative,,,,,,,,X,1,N1単語3000_1-1,Main
2,JLPT_Tango_N1_0001-011,親類,,relative,[sound:JLPT_Tango_N1_0001-011.mp3],,,,,,,,,,,,1.1,N1単語3000_1-1,Additional
3,JLPT_Tango_N1_0001-012,親戚,,relative,[sound:JLPT_Tango_N1_0001-012.mp3],,,,,,,,,,,,1.2,N1単語3000_1-1,Additional
4,JLPT_Tango_N1_0002,肉親,,immediate family,[sound:JLPT_Tango_N1_0002.mp3],"父が他界し,肉親は兄だけになった．",,My father passed away and all that is left of my immediate family is my big brother.,,,,,,,,X,2,N1単語3000_1-1,Main
5,JLPT_Tango_N1_0003,配偶者,,spouse,[sound:JLPT_Tango_N1_0003.mp3],配偶者の有無をこちらに書いてください。,,Please write down here whether you have a spouse or not.,,,,,,,,X,3,N1単語3000_1-1,Main
6,JLPT_Tango_N1_0003-011,パートナー,,partner,[sound:JLPT_Tango_N1_0003-011.mp3],,,,,,,,,,,,3.1,N1単語3000_1-1,Additional
7,JLPT_Tango_N1_0004,家系,,family line,[sound:JLPT_Tango_N1_0004.mp3],自分のルーツを知るために、家系図をつくった。,,I created a family tree to learn about my roots.,,,,,,,,X,4,N1単語3000_1-1,Main
8,JLPT_Tango_N1_0004-011,家系図,,family lineage,[sound:JLPT_Tango_N1_0004-011.mp3],,,,,,,,,,,,4.1,N1単語3000_1-1,Additional
9,JLPT_Tango_N1_0004-012,血縁,,blood ties,[sound:JLPT_Tango_N1_0004-012.mp3],,,,,,,,,,,,4.2,N1単語3000_1-1,Additional
10,JLPT_Tango_N1_0005,おふくろ,,mom,[sound:JLPT_Tango_N1_0005.mp3],【A】：今の電話、だれから　【B】：おふくろ,,A: Who was that on the phone B: My Mom,,,,,,,,X,5,N1単語3000_1-1,Main
11,JLPT_Tango_N1_0005-011,おふくろの味,,mother’s dishes,[sound:JLPT_Tango_N1_0005-011.mp3],,,,,,,,,,,,5.1,N1単語3000_1-1,Additional
12,JLPT_Tango_N1_0006,おやじ,,dad,[sound:JLPT_Tango_N1_0006.mp3],【息子】：おやじ、まだ帰ってないの？【母】：今日も飲んでるんじゃない？,,Son: Dad’s not home yet? Mother: He’s probably out drinking.,,,,,,,,X,6,N1単語3000_1-1,Main
