Tango Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Chap Sort,Tag
JLPT_Tango_N2_0001,一家,一家[いっか],Family,[sound:JLPT_Tango_N2_0001.mp3],兄が私達一家を支えてくれている。,兄[あに]が私[わたし]達[たち]一家[いっか]を支[ささ]えてくれている。,My older brother supports the family.,,1,"漢, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,1,Sentence
JLPT_Tango_N2_0001-005,一家団らん,一家[いっか]団[だん]らん,Happy Family Gathering,[sound:JLPT_Tango_N2_0001-005.mp3],,,,,,,,Related to 一家,Ch 01 - 人と人の関係,Sect 01 - 家族,,1.1,Additional
JLPT_Tango_N2_0001-006,ファミリー,ファミリー,Family,[sound:JLPT_Tango_N2_0001-006.mp3],,,,ファミリー-family,1,"外, 名詞, 普通名詞, 一般, *",,Related to 一家,Ch 01 - 人と人の関係,Sect 01 - 家族,,,Additional
JLPT_Tango_N2_0002,ありがたい,ありがたい,Grateful,[sound:JLPT_Tango_N2_0002.mp3],家族は本当にありがたい存在だ。,家族[かぞく]は本当[ほんとう]にありがたい存在[そんざい]だ。,I am really grateful to my family.,有り難い,4,"和, 形容詞, 一般, *, 形容詞",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,2,Sentence
JLPT_Tango_N2_0002-005,ありがとう,ありがとう,Thank You,[sound:JLPT_Tango_N2_0002-005.mp3],,,,有り難う,2,"和, 感動詞, 一般, *, *",,Related to ありがたい,Ch 01 - 人と人の関係,Sect 01 - 家族,,2.1,Additional
JLPT_Tango_N2_0003,向き合う,向き合[むきあ]う,Face,[sound:JLPT_Tango_N2_0003.mp3],家族みんなで問題に向き合っている。,家族[かぞく]みんなで問題[もんだい]に向き合[むきあ]っている。,We are trying to face the problem as a family.,,3,"和, 動詞, 一般, *, 五段-ワア行",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,3,Sentence
JLPT_Tango_N2_0004,つくづく(と),つくづく(と),"Deeply, Grately",[sound:JLPT_Tango_N2_0004.mp3],最近、家族のありがたさをつくづくと感じる。,最近[さいきん]、家族[かぞく]のありがたさをつくづくと感[かん]じる。,I feel deeply grateful to my family these days.,熟,"3,2","和, 副詞, *, *, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,4,Sentence
JLPT_Tango_N2_0004-005,しみじみ(と),しみじみ(と),Deeply,[sound:JLPT_Tango_N2_0004-005.mp3],,,,染み染み,3,"和, 副詞, *, *, *",,Related to つくづく(と),Ch 01 - 人と人の関係,Sect 01 - 家族,,4.1,Additional
JLPT_Tango_N2_0005,養う,養[やしな]う,Provide For,[sound:JLPT_Tango_N2_0005.mp3],父は一生懸命に働いて、家族を養っている。,父[ちち]は一生[いっしょう]懸命[けんめい]に働[はたら]いて、家族[かぞく]を養[やしな]っている。,My father works hard to provide for the family.,,"3,0","和, 動詞, 一般, *, 五段-ワア行",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,5,Sentence
JLPT_Tango_N2_0006,役目,役目[やくめ],Duty,[sound:JLPT_Tango_N2_0006.mp3],子どもを育てることが親の役目だ。,子[こ]どもを育[そだ]てることが親[おや]の役目[やくめ]だ。,It is the parents' duty to raise their children.,,3,"混, 名詞, 普通名詞, 一般, *",,,Ch 01 - 人と人の関係,Sect 01 - 家族,X,6,Sentence
