Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Alternate,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent
JLPT_Tango_N3_0001,父親,父親[ちちおや],father,[sound:JLPT_Tango_N3_0001.mp3],父親は今年50歳になる。,父親[ちちおや]は 今年[ことし] 50 歳[さい]になる。,My father turns 50 this year.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0002,母親,母親[ははおや],mother,[sound:JLPT_Tango_N3_0002.mp3],母親の料理は、とてもおいしい。,母親[ははおや]の 料理[りょうり]は、とてもおいしい。,My mother's cooking is very delicious.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0003,長女,長女[ちょうじょ],oldest daughter,[sound:JLPT_Tango_N3_0003.mp3],私は長女で、妹が一人いる。,私[わたし]は 長女[ちょうじょ]で、 妹[いもうと]が一人[ひとり]いる。,"I'm the oldest daughter, and I have one younger sister.",,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0004,長男,長男[ちょうなん],oldest son,[sound:JLPT_Tango_N3_0004.mp3],姉に元気な長男が生まれた。,姉[あね]に 元気[げんき]な 長男[ちょうなん]が 生[う]まれた。,My oldest sister gave birth to her oldest son.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0005,次女,次女[じじょ],second-oldest daughter,[sound:JLPT_Tango_N3_0005.mp3],次女は母に似ている。,次女[じじょ]は 母[はは]に 似[に]ている。,The second-oldest daughter in our family resembles our mother.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0005-005,二女,二女[じじょ],second-oldest daughter,[sound:JLPT_Tango_N3_0005-005.mp3],,,,次女,,,,same meaning as 次女,Ch 01 - 人と人との関係,Sect 01 - 家族,
JLPT_Tango_N3_0006,次男,次男[じなん],second-oldest son,[sound:JLPT_Tango_N3_0006.mp3],次男はとても背が高い。,次男[じなん]はとても 背[せ]が 高[たか]い。,My second-oldest son is very tall.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0006-005,二男,二男[じなん],second-oldest son,[sound:JLPT_Tango_N3_0006-005.mp3],,,,次男,,,,same meaning as 次男,Ch 01 - 人と人との関係,Sect 01 - 家族,
JLPT_Tango_N3_0007,三女,三女[さんじょ],third-oldest daughter,[sound:JLPT_Tango_N3_0007.mp3],三女は小学一年生だ。,三女[さんじょ]は 小学[しょうがく] 一年生[いちねんせい]だ。,Our third-oldest daughter is a first-grader in elementary school.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0008,三男,三男[さんなん],third-oldest son,[sound:JLPT_Tango_N3_0008.mp3],三男は兄弟の中で一番元気だ。,三男[さんなん]は 兄弟[きょうだい]の 中[なか]で 一番[いちばん] 元気[げんき]だ。,My third-oldest son is the most spirited of his siblings.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0009,末っ子,末っ子[すえっこ],youngest child,[sound:JLPT_Tango_N3_0009.mp3],彼は5人兄弟の末っ子だ。,彼[かれ]は 5 人[にん] 兄弟[きょうだい]の 末っ子[すえっこ]だ。,He is the youngest child of five siblings.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0010,一人っ子,一人っ子[ひとりっこ],only child,[sound:JLPT_Tango_N3_0010.mp3],私の友だちには、一人っ子が多い。,私[わたし]の 友[とも]だちには、 一人っ子[ひとりっこ]が 多[おお]い。,Many of my friends are only children.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0011,姉妹,姉妹[しまい],"sisters, female siblings",[sound:JLPT_Tango_N3_0011.mp3],私は3人姉妹の末っ子だ。,私[わたし]は 3 人[にん] 姉妹[しまい]の 末っ子[すえっこ]だ。,I am the youngest of three sisters.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0012,一人娘,一人娘[ひとりむすめ],only daughter,[sound:JLPT_Tango_N3_0012.mp3],父親は一人娘の結婚式で泣いた。,父親[ちちおや]は 一人娘[ひとりむすめ]の 結婚式[けっこんしき]で 泣[な]いた。,The father cried at the wedding of his only daughter.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0012-005,一人息子,一人息子[ひとりむすこ],only son,[sound:JLPT_Tango_N3_0012-005.mp3],,,,,,,,related or similar to 一人娘,Ch 01 - 人と人との関係,Sect 01 - 家族,
JLPT_Tango_N3_0013,親子,親子[おやこ],parent and child,[sound:JLPT_Tango_N3_0013.mp3],最近、親子でよく海外旅行をしている。,最近[さいきん]、 親子[おやこ]でよく 海外[かいがい] 旅行[りょこう]をしている。,"Lately, we have been going on trips as parent and child.",,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0014,夫婦,夫婦[ふうふ],"husband and wife, married couple",[sound:JLPT_Tango_N3_0014.mp3],佐藤さん夫婦は、毎日散歩している。,佐藤[さとう]さん 夫婦[ふうふ]は、 毎日[まいにち] 散歩[さんぽ]している。,Mr. and Mrs. Sato go for walks every day.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0015,［ご］夫妻,［ご］ 夫妻[ふさい],married couple,[sound:JLPT_Tango_N3_0015.mp3],部長ご夫妻の家に招待された。,部長[ぶちょう]ご 夫妻[ふさい]の 家[いえ]に 招待[しょうたい]された。,I was invited to my department manager and his wife's house.,夫妻,,,,"The term 夫妻 is more formal and rigid than 夫婦, and is used in combinations like 田中[たなか]夫妻　(the Tanakas).",Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0016,親類,親類[しんるい],"relatives, kin",[sound:JLPT_Tango_N3_0016.mp3],田中さんと私は親類だ。,田中[たなか]さんと 私[わたし]は 親類[しんるい]だ。,Tanaka-san and I are relatives.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0016-005,親せき,親[しん]せき,"relatives, kin",[sound:JLPT_Tango_N3_0016-005.mp3],,,,,,,,same meaning as 親類,Ch 01 - 人と人との関係,Sect 01 - 家族,
JLPT_Tango_N3_0017,先祖,先祖[せんぞ],ancestor,[sound:JLPT_Tango_N3_0017.mp3],うちの先祖に、有名なサムライがいるそうだ。,うちの 先祖[せんぞ]に、 有名[ゆうめい]なサムライがいるそうだ。,I hear that one of my ancestors is a famous samurai.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0017-005,祖先,祖先[そせん],ancestor,[sound:JLPT_Tango_N3_0017-005.mp3],,,,,,,,related or similar to 先祖,Ch 01 - 人と人との関係,Sect 01 - 家族,
JLPT_Tango_N3_0018,尊敬　＜する＞,尊敬[そんけい]　＜する＞,"respect, looking up to",[sound:JLPT_Tango_N3_0018.mp3],私は両親をとても尊敬している。,私[わたし]は 両親[りょうしん]をとても 尊敬[そんけい]している。,I look up to my parents a lot.,尊敬,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0019,おじ,おじ,uncle,[sound:JLPT_Tango_N3_0019.mp3],父とおじは二人兄弟だ。,父[ちち]とおじは二人[ふたり] 兄弟[きょうだい]だ。,My father and my uncle are the only siblings in the family.,,,,,"Both one's parent's younger and older brothers are referred to as おじ, but the kanji are different.",Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0020,おば,おば,aunt,[sound:JLPT_Tango_N3_0020.mp3],私は母親よりおばに、いろいろ相談する。,私[わたし]は 母親[ははおや]よりおばに、いろいろ 相談[そうだん]する。,I consult with my aunt more than my mother.,,,,,"Both one's parent's younger and older sisters are referred to as おば, but the kanji are different.",Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0021,いとこ,いとこ,cousin,[sound:JLPT_Tango_N3_0021.mp3],今日、いとこが遊びに来る。,今日[きょう]、いとこが 遊[あそ]びに 来[く]る。,"Today, my cousin is coming to play.",従兄弟,,,,Used for both men and women,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0022,おい,おい,nephew,[sound:JLPT_Tango_N3_0022.mp3],おいが生まれて、私もおばさんになった。,おいが 生[う]まれて、 私[わたし]もおばさんになった。,"My nephew was just born, so I'm an aunt now.",,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0023,めい,めい,niece,[sound:JLPT_Tango_N3_0023.mp3],おいもめいも、とてもかわいい。,おいもめいも、とてもかわいい。,Both my nephew and my niece are very cure.,姪,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0024,連れる,連[つ]れる,"to take, to lead",[sound:JLPT_Tango_N3_0024.mp3],子どもを連れて、近所の公園に行く。,子[こ]どもを 連[つ]れて、 近所[きんじょ]の 公園[こうえん]に 行[い]く。,I take my child and go to the local park.,,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0025,似る,似[に]る,"to resemble, to look like",[sound:JLPT_Tango_N3_0025.mp3],A「お父さんとお母さん、どちらに似ていますか。」<div>B「父に似ていると言われます。」</div>,A「お 父[とう]さんとお 母[かあ]さん、どちらに 似[に]ていますか。」<div>B「 父[ちち]に 似[に]ていると 言[い]われます。」</div>,"A: Whish do you most resemble, your mother or your father?<div>B: I'm told I resemble my father.</div>",,,,,It is usually used in the conjugated form 似ている.,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0026,そっくりな,そっくりな,exactly like,[sound:JLPT_Tango_N3_0026.mp3],妹の顔は、父親にそっくりだ。,妹[いもうと]の 顔[かお]は、 父親[ちちおや]にそっくりだ。,My younger sister's face looks exactly like our father's.,そっくり,,,,,Ch 01 - 人と人との関係,Sect 01 - 家族,X
JLPT_Tango_N3_0027,親友,親友[しんゆう],close friend,[sound:JLPT_Tango_N3_0027.mp3],私には親友が3人います。,私[わたし]には 親友[しんゆう]が 3 人[にん]います。,I have three close friends.,,,,,,Ch 01 - 人と人との関係,Sect 02 - 友達の知り合い,X
