Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent
JLPT_Tango_N4_0001,たった今,たった 今[いま],just (now),[sound:JLPT_Tango_N4_0001.mp3],電車はたった今出たところです。,電車[でんしゃ]はたった 今[いま] 出[で]たところです。,The train just left.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0002,今にも,今[いま]にも,"at any time, at any moment",[sound:JLPT_Tango_N4_0002.mp3],空が暗くなって、今にも雨が降りそうです。,空[そら]が 暗[くら]くなって、 今[いま]にも 雨[あめ]が 降[ふ]りそうです。,"The sky is dark, and it looks like it could rain at any moment.",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0003,もうすぐ,もうすぐ,soon,[sound:JLPT_Tango_N4_0003.mp3],今１１時半。もうすぐランチの時間です。,今[いま]１１ 時半[じはん]。もうすぐランチの 時間[じかん]です。,It's now 11:30. It will be lunch time soon.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0004,さっき,さっき,"just now, a while ago",[sound:JLPT_Tango_N4_0004.mp3],A「山下さんは？」<div>B「山下さんなら、さっき帰りましたよ。」</div>,A「 山下[やました]さんは？」 <div>B「 山下[やました]さんなら、さっき 帰[かえ]りましたよ。」</div>,A: Where is Yamashita-san?<div>B: Yamashita-san went home just now.</div>,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0005,このごろ,このごろ,"recently, these days",[sound:JLPT_Tango_N4_0005.mp3],このごろ、寒い日が多いですね。,このごろ、 寒[さむ]い 日[ひ]が 多[おお]いですね。,There have been many cold days recently.,,,,"Used to describe a situation, not actions.",Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0006,最近,最近[さいきん],recently,[sound:JLPT_Tango_N4_0006.mp3],最近、スペイン語を勉強しています。,最近[さいきん]、スペイン 語[ご]を 勉強[べんきょう]しています。,I have been studying Spanish recently.,,,,"Used to describe not only actions, but also situation.",Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0007,この間,この 間[あいだ],just a while ago,[sound:JLPT_Tango_N4_0007.mp3],A「田中さんは元気ですか。」<div>B「ええ。この間会いましたよ。」</div>,A「 田中[たなか]さんは 元気[げんき]ですか。」 <div>B「ええ。この 間[あいだ] 会[あ]いましたよ。」</div>,A: Is Tanaka-san doing well?<div>B: Yes. I saw him just a while ago.</div>,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0008-001,今度,今度[こんど],this time; next time,[sound:JLPT_Tango_N4_0008-001.mp3],①今度のテストはとてもむずかしかった。,① 今度[こんど]のテストはとてもむずかしかった。 ,①　The test this time was really difficult.,,,,今度　can be used to mean ① this time or now and ② next or next time.,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0008-002,今度,今度[こんど],this time; next time,[sound:JLPT_Tango_N4_0008-002.mp3],②A「今度、お酒を飲みに行きましょう。」<div>　B「ええ、ぜひ。」</div>,②A「 今度[こんど]、お 酒[さけ]を 飲[の]みに 行[い]きましょう。」<div>　B「ええ、ぜひ。」</div>,"②　A: Let's go get some drinks next time. B: Yes, let's.",,,,今度　can be used to mean ① this time or now and ② next or next time.,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0009,いつでも,いつでも,any time,[sound:JLPT_Tango_N4_0009.mp3],A「食事するなら、いつがいいですか。」<div>B「私はいつでもいいですよ。」</div>,A「 食事[しょくじ]するなら、いつがいいですか。」 <div>B「 私[わたし]はいつでもいいですよ。」</div>,"A: Since we're going to have a meal, when would be a good time?<div>B: Any time is okay with me.</div>",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0010,いつか,いつか,"some time, some day",[sound:JLPT_Tango_N4_0010.mp3],いつか家族で世界旅行をしたいです。,いつか 家族[かぞく]で 世界[せかい] 旅行[りょこう]をしたいです。,"Some day, I would like to travel around the world with my family.",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0011,しょうらい,しょうらい,future,[sound:JLPT_Tango_N4_0011.mp3],しょうらい、医者になりたいと思っています。,しょうらい、 医者[いしゃ]になりたいと 思[おも]っています。,I would like to be a doctor in the future.,,,,"しょうらい is used when talking about an individual's future, and 未来 is used when talking about the future on a wider scale of things like countries or the planet.",Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0011-005,未来,未来[みらい],future,[sound:JLPT_Tango_N4_0011-005.mp3],,,,,,,"しょうらい is used when talking about an individual's future, and 未来 is used when talking about the future on a wider scale of things like countries or the planet.",Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0012,むかし,むかし,"past, a long time ago",[sound:JLPT_Tango_N4_0012.mp3],むかし、ここは海でした。,むかし、ここは 海[うみ]でした。,"In the past, here was an ocean.",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0012-005,むかし話,むかし 話[ばなし],"folk tale, legend",[sound:JLPT_Tango_N4_0012-005.mp3],,,,,,,Related meaning to むかし,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0013,ある日,ある 日[ひ],one day,[sound:JLPT_Tango_N4_0013.mp3],ある日、家の前に黒猫がいました。,ある 日[ひ]、 家[いえ]の 前[まえ]に 黒[くろ] 猫[ねこ]がいました。,"One day, there was a black cat in front of the house.",,,,ある日 is used to describe an unspecified day in the past. Also used to express an unrestricted point in time.,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0013-005,あるとき,あるとき,"one time, at a given time",[sound:JLPT_Tango_N4_0013-005.mp3],,,,,,,あるとき is used to describe an unspecified time in the past. Related meaning to ある日,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0013-006,ある人,ある 人[ひと],a (given) person,[sound:JLPT_Tango_N4_0013-006.mp3],,,,,,,ある人 is used to describe an unspecified person. Related meaning to ある日,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0013-007,ある町,ある 町[まち],a (given) town,[sound:JLPT_Tango_N4_0013-007.mp3],,,,,,,ある町 is used to describe an unspecified town. Related meaning to ある日,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0013-008,ある国,ある 国[くに],a (given) country,[sound:JLPT_Tango_N4_0013-008.mp3],,,,,,,ある国 is used to describe an unspecified country. Related meaning to ある日,Ch 01 - 私たちの毎日,Sect 01 - 時間,
JLPT_Tango_N4_0014,昼間,昼間[ひるま],"daytime, day",[sound:JLPT_Tango_N4_0014.mp3],このあたりは昼間は人が多いですが、夜はしずかです。,このあたりは 昼間[ひるま]は 人[ひと]が 多[おお]いですが、 夜[よる]はしずかです。,"This area is full of people during the day, but it's quiet at night.",,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
JLPT_Tango_N4_0015,夕方,夕方[ゆうがた],evening,[sound:JLPT_Tango_N4_0015.mp3],夕方から強い雨が降るそうです。,夕方[ゆうがた]から 強[つよ]い 雨[あめ]が 降[ふ]るそうです。,I heard that there will be heavy rain in the evening.,,,,,Ch 01 - 私たちの毎日,Sect 01 - 時間,X
