Sort Index,Vocab-Japan,Vocab-Furigana,Vocab-English,audio file,Sent-Japan,Sent-Furigana,Sent-English,Vocab-Pitch,Vocab-POS,Note-Question side,Note-Answer side,Chapter,Section,Gener Sent,Digital Sort,4 Digit Sort,Vocab-Audio,Sent/Vocab-English
JLPT_Tango_N5_0001,わたし,わたし,I,[sound:JLPT_Tango_N5_0001.mp3],<b>わたし</b>はアンです。,<b>わたし</b>はアンです。,I am Ann.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,1,0001,JLPT_Tango_N5_0001.mp3,<div><b>I</b></div>I am Ann.
JLPT_Tango_N5_0002,です,です,Is,[sound:JLPT_Tango_N5_0002.mp3],わたしはスミス<b>です</b>。,わたしはスミス<b>です</b>。,My name is Smith.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,2,0002,JLPT_Tango_N5_0002.mp3,<div><b>Is</b></div>My name is Smith.
JLPT_Tango_N5_0003,さん,さん,Mr. or Mrs.,[sound:JLPT_Tango_N5_0003.mp3],A 「トム<b>さん</b>ですか。」 -- B　「はい。」,A「トム<b>さん</b>ですか。」 --  B　「はい。」,A. Are you Tom-san? -- B. Yes.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,3,0003,JLPT_Tango_N5_0003.mp3,<div><b>Mr. or Mrs.</b></div>A. Are you Tom-san?<div>B. Yes.</div>
JLPT_Tango_N5_0004,ちゃん,ちゃん,Chan (Endearment Honorific),[sound:JLPT_Tango_N5_0004.mp3],（かのじょは）ララ<b>ちゃん</b>です。,（かのじょは）ララ<b>ちゃん</b>です。,She is Lara-chan.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,4,0004,JLPT_Tango_N5_0004.mp3,<div><b>Chan (Endearment Honorific)</b></div>She is Lara-chan.
JLPT_Tango_N5_0005,あなた,あなた,You,[sound:JLPT_Tango_N5_0005.mp3],<b>あなた</b>はトムさんですか。,<b>あなた</b>はトムさんですか。,Are you Tom-san?,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,5,0005,JLPT_Tango_N5_0005.mp3,<div><b>You</b></div>Are you Tom-san?
JLPT_Tango_N5_0006,かれ,かれ,"He, Male Lover",[sound:JLPT_Tango_N5_0006.mp3],<b>かれ</b>はトムさんです。,<b>かれ</b>はトムさんです。,He is Tom-san.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,6,0006,JLPT_Tango_N5_0006.mp3,"<div><b>He, Male Lover</b></div>He is Tom-san."
JLPT_Tango_N5_0007,かのじょ,かのじょ,"She, Female Lover",[sound:JLPT_Tango_N5_0007.mp3],<b>かのじょ</b>はヒエンさんです。,<b>かのじょ</b>はヒエンさんです。,She is Hien-san.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,7,0007,JLPT_Tango_N5_0007.mp3,"<div><b>She, Female Lover</b></div>She is Hien-san."
JLPT_Tango_N5_0008,おなまえ,おなまえ,Name,[sound:JLPT_Tango_N5_0008.mp3],A 「<b>おなまえ</b>は？」B 「トムです。」,A「<b>おなまえ</b>は？」 -- B「トムです。」,A. What is your name? -- B. My name is Tom.,,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,8,0008,JLPT_Tango_N5_0008.mp3,<div><b>Name</b></div>A. What is your name?<div>B. My name is Tom.</div>
JLPT_Tango_N5_0009,はい,はい,Yes,[sound:JLPT_Tango_N5_0009.mp3],A 「やまださんですか。」 -- B 「<b>はい</b>。」,A「やまださんですか。」 -- B「<b>はい</b>。」,"A. Are you Yamada-san? -- B. Yes, I am.",,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,9,0009,JLPT_Tango_N5_0009.mp3,"<div><b>Yes</b></div>A. Are you Yamada-san?<div>B. Yes, I am.</div>"
JLPT_Tango_N5_0010,ええ,ええ,Yes,[sound:JLPT_Tango_N5_0010.mp3],A 「やまださんですか。」 -- B 「<b>ええ</b>、そうです。」,A「やまださんですか。」 -- B「<b>ええ</b>、そうです。」,"A. Are you Yamada-san? -- B. Yes, I am.",,,,,Ch 01 - 自己紹介,Sect 01 - ～です,X,10,0010,JLPT_Tango_N5_0010.mp3,"<div><b>Yes</b></div>A. Are you Yamada-san?<div>B. Yes, I am.</div>"
